busscategory,BJP,INC
Agriculture and Allied Activities,4000000,0
Auto Parts and Equipment,3000000,0
Business Services,1057000000,250000
Cigarettes-Tobacco Products,0,480000000
Construction,20000000,60000000
Electricity & Gas & Water companies,6000000,0
Finance,100000,0
Manufacturing (Food Products),180000000,0
Manufacturing (Machinery & Equipments),148500000,22385000000
Manufacturing (Metals & Chemicals and products thereof),933656000,360700000
Manufacturing (Textiles),0,12000000
Manufacturing (Wood Products),0,3000000
Pharmaceuticals,90000000,1000000
Specialty Retail,1000000,0
Transport and storage and Communications,29000000,0
