name,tag,value,name2,value2
,-0.328915164,,Government,-0.466949262
,-0.303369251,,Informal,0.374157856
Times of India,-0.251992893,-0.530825961,,
,-0.236618046,,Corporate,0.188209089
New Indian Express,-0.211468888,-0.160676742,,
Indian Express,-0.098480048,0.200830541,,
Deccan Herald,-0.096174335,0.054076415,,
The Hindu,-0.008734621,0.088775206,,
Hindustan Times,0.134977923,-0.205928525,,
,0.277031846,,Middle Class,-0.575160164
Telegraph,0.531872863,0.553749067,,
,0.591870615,,Poor,0.479742482


