tag,value,a,b,pol
Narendra Modi,67.4181,2.284,0.152,15.02631579
Ravi Shankar Prasad,10.4419,1.928,0.26,7.415384615
Arun Jaitley,8.4089,0,0,0
Devendra Fadnavis,8.9592,3.224,0.574,5.616724739
Venkaiah Naidu,2.5303,1.068,0.308,3.467532468
Amit Shah,-0.6339,0,0,0
Vasundhara Raje,3.3104,2.088,0.108,19.33333333
Suresh Prabhu,2.5422,0.956,0.082,11.65853659
Sushma Swaraj,2.1944,1.804,0.118,15.28813559
Rajnath Singh,1.0616,0,0,0
Nandan Nilekani,2.2608,0.516,0,0.516
AS Pardeep Chhabra,0,0,0,0
Siddaramaiah,1.2421,0.584,0,0.584
Rahul Gandhi,0.7392,0.588,0,0.588
Jaskiran Singh,1.8346,0.938,0.248,3.782258065
Anand Kishore,1.349,0,0,0
Mukesh Ambani,2.6725,0.84,0,0.84
Ananta Narayan Jena,3.6764,3.278,0.26,12.60769231
Mamata Banerjee,0.4404,0.562,0.302,1.860927152
Akhilesh Yadav,2.6375,2.244,0.594,3.777777778
